prod_cycle,base_id,color,start,end
7358,40419,2,33.54,89.54
7358,40420,2,42.809,135.609
7359,40421,2,6.233,62.233
7360,40422,0,4.151,58.851
7361,40423,1,4.498,59.198
7361,40424,0,19.81,221.71
7361,40425,0,31.666,86.366
7361,40426,0,46.209,174.509
7361,40427,2,56.545,112.545
7361,40428,0,69.731,124.431
7361,40429,2,80.453,210.053
7361,40430,1,93.619,149.619
7362,40431,1,12.745,67.445
7362,40432,0,33.756,198.856
7362,40433,0,46.093,100.793
7362,40434,1,58.985,114.985
7362,40435,1,68.144,159.644
7362,40436,1,77.338,132.038
7363,40437,0,9.884,64.584
7363,40438,2,39.717,95.717
7363,40439,0,48.938,103.638
7363,40440,2,64.75,120.75
7363,40441,2,79.043,245.443
7363,40442,0,98.341,153.041
7363,40443,1,109.495,165.495
7363,40444,1,125.161,179.861
7363,40445,1,141.134,197.134
7363,40446,0,156.019,210.719
7364,40447,1,12.734,67.434
7365,40448,2,24.452,80.452
7365,40449,0,40.362,95.062
7365,40450,1,58.0,114.0
7365,40451,2,74.121,166.921
7365,40452,0,89.816,144.516
7365,40453,0,99.379,264.479
7365,40454,1,120.954,175.654
7365,40455,2,132.775,225.575
7365,40456,2,142.196,198.196
7366,40457,0,3.534,58.234
7366,40458,2,19.657,75.657
7366,40459,0,58.15,112.85
7366,40460,1,82.05,138.05
7366,40461,0,100.396,155.096
7366,40462,2,113.466,169.466
